Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,States
2021,AK,Alaska,Bethel,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,12.8,,,11.3,14.6,18557,02050,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-160.1526246 60.9291413),108,51
2021,AK,Alaska,Chugach,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,16.3,21.4,6941,02063,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Juneau,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20,,,16.8,23.1,31973,02110,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-134.1784454 58.3729099),1675,51
2021,AK,Alaska,Yakutat,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,16.3,,,14.2,18.6,704,02282,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-140.416942 60.0174528),984,51
2021,AK,Alaska,Haines,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,15.8,,,13.6,18.3,2071,02100,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-135.5757906 59.0984037),1674,51
2020,AK,Alaska,Southeast Fairbanks,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,56,,,52.6,59.6,6970,02240,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-143.2186282 63.8649972),983,51
2021,AK,Alaska,Fairbanks North Star,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,74.7,,,71.2,78.1,95593,02090,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-146.5481586 64.6760436),1673,51
2021,AK,Alaska,North Slope,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,24.8,,,20.5,29.6,10972,02185,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.7,,,9.1,12.6,838,02060,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-156.9668053 58.741661),1670,51
2020,AK,Alaska,Wrangell,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,62.3,,,57.8,66.4,2055,02275,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-132.0267878 56.1807793),3,51
2021,AK,Alaska,Chugach,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.9,,,2.6,3.2,6941,02063,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Skagway,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,17.1,,,13.4,21.1,1132,02230,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Aleutians East,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,28.8,,,23.9,34.0,3398,02013,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-161.9974772 55.2450437),107,51
2021,AK,Alaska,Fairbanks North Star,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.1,,,13.1,17.1,95593,02090,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-146.5481586 64.6760436),1673,51
2020,AK,Alaska,Lake and Peninsula,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.6,,,33.2,35.9,1416,02164,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-156.4134134 58.1085067),113,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,8.4,,,7.2,9.9,13754,02130,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-131.1066847 55.4499378),111,51
2021,AK,Alaska,Nome,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,16.7,,,14.4,19.2,9865,02180,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-164.1889119 64.7836858),114,51
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,28.8,,,24.6,33.6,2332,02105,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-135.884909 58.403336),109,51
2020,AK,Alaska,Copper River,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,27.4,,,22.3,33.1,2630,02066,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-143.9221674 62.034479),1,51
2020,AK,Alaska,Aleutians East,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,16.9,,,12.6,21.7,3398,02013,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-161.9974772 55.2450437),107,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,,,3.3,4.1,838,02060,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Kodiak Island,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,16.1,,,13.2,19.1,12787,02150,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Petersburg,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,18.9,,,15.5,22.5,3356,02195,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-133.0085979 57.1124581),117,51
2021,AK,Alaska,Denali,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.4,,,6.5,8.4,1593,02068,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-150.0270164 63.6820386),1671,51
2020,AK,Alaska,Nome,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,23.7,,,17.9,30.0,9865,02180,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-164.1889119 64.7836858),114,51
2021,AK,Alaska,Kusilvak,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,8.8,,,7.8,10.0,8360,02158,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-163.1901714 62.2835878),2,51
2020,AK,Alaska,Yukon-Koyukuk,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.1,,,33.8,36.3,5275,02290,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-151.5778496 65.3757271),4,51
2021,AK,Alaska,Juneau,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,18.7,,,15.7,21.9,31973,02110,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-134.1784454 58.3729099),1675,51
2020,AK,Alaska,Haines,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,11.6,,,8.2,15.2,2071,02100,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-135.5757906 59.0984037),1674,51
2020,AK,Alaska,Northwest Arctic,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,45.2,,,41.5,48.9,7560,02188,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-160.0210864 67.0050655),116,51
2020,AK,Alaska,North Slope,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,17.1,,,13.0,21.7,10972,02185,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-153.4728302 69.4493427),115,51
2020,AK,Alaska,Wrangell,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,31.2,,,29.9,32.3,2055,02275,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-132.0267878 56.1807793),3,51
2020,AK,Alaska,Fairbanks North Star,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.4,,,7.1,14.0,95593,02090,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-146.5481586 64.6760436),1673,51
2021,AK,Alaska,Yukon-Koyukuk,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,17.9,,,15.4,20.3,5275,02290,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-151.5778496 65.3757271),4,51
2021,AK,Alaska,Northwest Arctic,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.6,,,32.6,49.0,7560,02188,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-160.0210864 67.0050655),116,51
2021,AK,Alaska,Lake and Peninsula,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,11.4,,,9.9,12.7,1416,02164,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-156.4134134 58.1085067),113,51
2020,AK,Alaska,Haines,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,61.8,,,57.5,66.0,2071,02100,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-135.5757906 59.0984037),1674,51
2021,AK,Alaska,Skagway,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.5,,,6.5,8.5,1132,02230,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,11,,,9.6,12.6,838,02060,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,21.4,,,17.6,25.4,2332,02105,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-135.884909 58.403336),109,51
2021,AK,Alaska,Fairbanks North Star,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,19.8,,,17.1,22.7,95593,02090,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-146.5481586 64.6760436),1673,51
2021,AK,Alaska,Bethel,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,14.7,,,12.6,16.9,18557,02050,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-160.1526246 60.9291413),108,51
2021,AK,Alaska,Copper River,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7.4,,,6.6,8.3,2630,02066,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-143.9221674 62.034479),1,51
2021,AK,Alaska,Juneau,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.8,,,4.2,5.5,31973,02110,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-134.1784454 58.3729099),1675,51
2021,AK,Alaska,Sitka,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.8,,,6.9,8.8,8407,02220,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Northwest Arctic,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,25.6,,,22.3,29.4,7560,02188,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-160.0210864 67.0050655),116,51
2021,AK,Alaska,Matanuska-Susitna,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.9,,,2.5,3.2,110686,02170,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Juneau,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,9.5,,,8.2,11.0,31973,02110,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-134.1784454 58.3729099),1675,51
2020,AK,Alaska,Dillingham,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,21.7,,,17.4,27.0,4772,02070,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-158.2671226 59.5433255),1672,51
2021,AK,Alaska,Chugach,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,10.1,,,9.0,11.4,6941,02063,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Kodiak Island,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,76.2,,,72.5,79.8,12787,02150,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Yukon-Koyukuk,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,34.9,,,30.6,39.1,5275,02290,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-151.5778496 65.3757271),4,51
2021,AK,Alaska,Wrangell,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,21.9,,,18.0,26.1,2055,02275,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-132.0267878 56.1807793),3,51
2021,AK,Alaska,Sitka,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,26.5,,,22.9,30.7,8407,02220,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Matanuska-Susitna,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,12,,,10.4,13.7,110686,02170,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Kenai Peninsula,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,7,,,6.0,8.1,59767,02122,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-152.0526403 60.360766),110,
2021,AK,Alaska,Nome,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,33,,,29.1,37.2,9865,02180,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-164.1889119 64.7836858),114,51
2020,AK,Alaska,Aleutians West,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.7,,,9.9,15.7,5059,02016,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (178.338813 51.9594469),,
2020,AK,Alaska,Dillingham,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.8,,,30.4,33.0,4772,02070,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-158.2671226 59.5433255),1672,51
2021,AK,Alaska,North Slope,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,8.2,,,7.2,9.2,10972,02185,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-153.4728302 69.4493427),115,51
2021,AK,Alaska,Chugach,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.8,,,9.3,12.4,6941,02063,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-146.2030924 60.4884737),1,
2021,AK,Alaska,Petersburg,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.8,,,5.8,7.9,3356,02195,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-133.0085979 57.1124581),117,51
2021,AK,Alaska,Lake and Peninsula,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,25.8,,,21.8,29.7,1416,02164,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-156.4134134 58.1085067),113,51
2021,AK,Alaska,Copper River,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,14.1,,,12.3,16.0,2630,02066,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-143.9221674 62.034479),1,51
2021,AK,Alaska,Southeast Fairbanks,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.6,,,5.7,7.5,6970,02240,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-143.2186282 63.8649972),983,51
2021,AK,Alaska,Juneau,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,,,2.4,3.1,31973,02110,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-134.1784454 58.3729099),1675,51
2021,AK,Alaska,Haines,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,28.4,,,24.3,32.5,2071,02100,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-135.5757906 59.0984037),1674,51
2021,AK,Alaska,Kodiak Island,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,11.3,,,9.2,13.8,12787,02150,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.1,,,8.9,11.5,838,02060,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Denali,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,10.1,,,8.0,12.8,1593,02068,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-150.0270164 63.6820386),1671,51
2021,AK,Alaska,Aleutians East,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,32.1,,,27.9,36.6,3398,02013,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-161.9974772 55.2450437),107,51
2020,AK,Alaska,Sitka,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,63.9,,,61.1,66.6,8407,02220,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-135.3673965 57.1932044),118,
2021,AK,Alaska,Aleutians West,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,29.3,,,25.8,33.6,5059,02016,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (178.338813 51.9594469),,
2020,AK,Alaska,Ketchikan Gateway,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,38.8,,,31.6,45.5,13754,02130,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-131.1066847 55.4499378),111,51
2020,AK,Alaska,Matanuska-Susitna,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,39.8,,,32.5,47.6,110686,02170,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Anchorage,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,77.9,,,74.8,80.6,288121,02020,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-149.2843294 61.1742503),1669,51
2021,AK,Alaska,Denali,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.6,,,4.8,6.4,1593,02068,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-150.0270164 63.6820386),1671,51
2020,AK,Alaska,Kenai Peninsula,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.7,,,31.2,34.1,59767,02122,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-152.0526403 60.360766),110,
2021,AK,Alaska,Kodiak Island,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.3,,,4.4,6.2,12787,02150,HLTHOUT,COPD,CrdPrv,COPD,POINT (-153.9183721 57.7044003),,51
2020,AK,Alaska,Dillingham,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,51.3,,,47.6,54.9,4772,02070,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-158.2671226 59.5433255),1672,51
2021,AK,Alaska,Matanuska-Susitna,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,8.3,,,7.2,9.6,110686,02170,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-149.5039935 62.2656263),1707,51
2021,AK,Alaska,Kusilvak,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,5,,,4.5,5.5,8360,02158,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-163.1901714 62.2835878),2,51
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,8.8,11.4,2332,02105,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-135.884909 58.403336),109,51
2021,AK,Alaska,Petersburg,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.3,,,27.2,35.6,3356,02195,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-133.0085979 57.1124581),117,51
2020,AK,Alaska,Fairbanks North Star,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,30.2,,,25.0,35.4,95593,02090,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-146.5481586 64.6760436),1673,51
2021,AK,Alaska,Juneau,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.2,,,4.6,6.0,31973,02110,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-134.1784454 58.3729099),1675,51
2021,AK,Alaska,Juneau,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.6,,,3.2,4.2,31973,02110,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-134.1784454 58.3729099),1675,51
2021,AK,Alaska,Bristol Bay,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,23.8,,,20.0,27.7,838,02060,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-156.9668053 58.741661),1670,51
2021,AK,Alaska,Copper River,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,8.6,,,7.6,9.6,2630,02066,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-143.9221674 62.034479),1,51
2021,AK,Alaska,Wrangell,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,3.9,,,3.4,4.4,2055,02275,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-132.0267878 56.1807793),3,51
2020,AK,Alaska,Bethel,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,17.9,,,13.8,22.7,18557,02050,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-160.1526246 60.9291413),108,51
2020,AK,Alaska,Aleutians East,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,48.4,,,45.6,51.4,3398,02013,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-161.9974772 55.2450437),107,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11.6,,,9.9,13.5,13754,02130,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-131.1066847 55.4499378),111,51
2021,AK,Alaska,Skagway,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,29.5,,,25.2,34.0,1132,02230,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-135.3382787 59.5603794),1709,51
2021,AK,Alaska,Petersburg,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,6.6,,,5.7,7.7,3356,02195,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-133.0085979 57.1124581),117,51
2021,AK,Alaska,Petersburg,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.4,,,3.0,3.9,3356,02195,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-133.0085979 57.1124581),117,51
2021,AK,Alaska,Kodiak Island,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.2,,,3.7,4.7,12787,02150,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-153.9183721 57.7044003),,51
2021,AK,Alaska,Bethel,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,21.7,,,18.9,24.6,18557,02050,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-160.1526246 60.9291413),108,51
2021,AK,Alaska,Ketchikan Gateway,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,27.5,,,24.2,31.2,13754,02130,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-131.1066847 55.4499378),111,51
2021,AK,Alaska,Prince of Wales-Hyder,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.1,,,31.5,46.6,5729,02198,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-133.1623885 55.6827733),1708,
2021,AK,Alaska,Hoonah-Angoon,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,76.6,,,72.5,80.3,2332,02105,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-135.884909 58.403336),109,51
2020,AK,Alaska,Northwest Arctic,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,22.8,,,17.3,28.8,7560,02188,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-160.0210864 67.0050655),116,51
